ax,ay,az,gx,gy,gz,time
399695.0,0.09,-0.34,9.93,0.0,0.01,-0.0
399708.0,0.0,-0.4,9.91,0.01,0.02,0.0
399721.0,0.04,-0.38,9.99,0.0,0.01,0.0
399734.0,0.0,-0.34,9.93,0.01,0.01,-0.0
399748.0,0.05,-0.35,9.89,0.01,0.02,-0.0
399761.0,0.08,-0.4,9.93,0.01,0.01,-0.01
399774.0,0.06,-0.36,9.9,0.01,0.02,0.0
399787.0,0.1,-0.33,9.85,0.01,0.02,-0.0
399800.0,0.06,-0.41,9.88,0.01,0.01,-0.0
399813.0,0.04,-0.3,9.96,0.01,0.01,-0.0
399826.0,0.04,-0.38,9.96,0.01,0.01,0.0
399839.0,0.1,-0.37,9.93,0.01,0.02,-0.0
399852.0,0.06,-0.43,9.94,0.01,0.01,-0.0
399865.0,0.13,-0.4,9.92,0.01,0.01,-0.0
399878.0,0.03,-0.38,9.89,0.01,0.01,-0.0
399891.0,0.09,-0.33,9.95,0.01,0.02,-0.0
399904.0,0.14,-0.34,9.92,0.01,0.02,-0.0
399917.0,0.08,-0.33,9.9,0.01,0.02,-0.0
399930.0,-0.02,-0.39,9.91,0.02,0.01,-0.0
399943.0,0.02,-0.4,9.95,0.01,0.01,-0.0
399956.0,0.01,-0.39,9.95,0.01,0.01,-0.0
399969.0,0.1,-0.4,9.94,0.01,0.02,-0.01
399982.0,0.07,-0.39,9.9,0.01,0.01,-0.0
399996.0,0.1,-0.37,9.93,0.01,0.01,-0.0
400009.0,0.1,-0.36,9.89,0.01,0.01,-0.01
400022.0,-0.01,-0.36,9.91,0.01,0.02,-0.0
400035.0,0.08,-0.33,9.94,0.01,0.01,-0.0
400048.0,0.06,-0.33,9.95,0.01,0.02,-0.0
400061.0,0.09,-0.36,9.95,0.01,0.02,-0.0
400074.0,0.06,-0.4,9.95,0.01,0.01,-0.0
400087.0,0.05,-0.34,9.88,0.01,0.01,-0.01
400100.0,0.05,-0.38,9.94,0.01,0.02,0.0
400113.0,0.06,-0.4,9.94,0.01,0.02,-0.0
400126.0,0.11,-0.39,9.93,0.02,0.02,0.0
400139.0,0.09,-0.44,9.95,0.01,0.01,0.0
400152.0,0.09,-0.34,9.9,0.01,0.01,0.0
400165.0,0.07,-0.42,9.92,0.01,0.02,-0.0
400178.0,0.05,-0.35,9.96,0.01,0.01,0.0
400191.0,0.06,-0.34,9.96,0.01,0.02,0.0
400204.0,0.09,-0.43,9.91,0.01,0.01,0.0
400217.0,0.09,-0.38,9.95,0.01,0.01,-0.0
400230.0,0.05,-0.36,9.87,0.01,0.01,0.0
400244.0,0.06,-0.36,9.91,0.02,0.01,-0.0
400257.0,0.07,-0.37,9.9,0.01,0.01,0.0
400270.0,0.04,-0.44,10.01,0.01,0.02,-0.0
400283.0,0.09,-0.36,9.95,0.01,0.01,0.0
400296.0,0.07,-0.35,10.01,0.01,0.02,-0.01
400309.0,0.09,-0.35,9.93,0.01,0.01,0.0
400322.0,0.09,-0.3,9.95,0.01,0.01,-0.0
