time_s,amp_no_control,phi_no_control,amp_sim,phi_sim,u_applied
0.25,-6703986000.0,-2.1699057,-6703986000.0,-2.1699057,-1.0
0.375,-6703986000.0,-2.2047458,-6703986000.0,-2.1297110000000004,-1.0
0.5,-6703986000.0,-2.23209,-6703986000.0,-2.080744641666667,-1.0
0.625,-6703986000.0,-2.1665716,-6703986000.0,-2.027301658333334,-1.0
0.75,-6703986000.0,-2.188575,-6703986000.0,-1.9797864416666673,-1.0
0.875,-6703986000.0,-2.2189603,-6703986000.0,-1.9343651750000006,-1.0
1.0,-6703986000.0,-2.2036746,-6703986000.0,-1.8832969416666672,-1.0
1.125,-6703986000.0,-2.1833806,-6703986000.0,-1.8287439750000005,-1.0
1.25,-6703986000.0,-2.2121394,-6703986000.0,-1.778428741666667,-1.0
1.375,-6703986000.0,-2.2163396,-6703986000.0,-1.7316751083333337,-1.0
1.5,-6703986000.0,-2.1937518,-6703986000.0,-1.6799890083333338,-1.0
1.625,-6703986000.0,-2.2009647,-6703986000.0,-1.6253940083333338,-1.0
1.75,-6703986000.0,-2.1670346,-6703986000.0,-1.570816216666667,-1.0
1.875,-6703986000.0,-2.2162378,-6703986000.0,-1.5169005333333336,-1.0
2.0,-6703986000.0,-2.2182386,-6703986000.0,-1.4653941916666668,-1.0
2.125,-6703986000.0,-2.1900072,-6703986000.0,-1.413842725,-1.0
2.25,-6703986000.0,-2.1649442,-6703986000.0,-1.3609595666666667,-1.0
2.375,-6703986000.0,-2.1748388,-6703986000.0,-1.310208375,-1.0
2.5,-6703986000.0,-2.1461723,-6703986000.0,-1.2620060166666667,-1.0
2.625,-6703986000.0,-2.219024,-6703986000.0,-1.21947205,-1.0
2.75,-6703986000.0,-2.1968348,-6703986000.0,-1.1738249916666665,-1.0
2.875,-6703986000.0,-2.1768131,-6703986000.0,-1.1209113916666664,-1.0
3.0,-6703986000.0,-2.169124,-6703986000.0,-1.0736347499999996,-1.0
3.125,-6703986000.0,-2.1922307,-6703986000.0,-1.0288052333333328,-1.0
3.25,-6703986000.0,-2.2183728,-6703986000.0,-0.9796422333333328,-1.0
3.375,-6703986000.0,-2.1990588,-6703986000.0,-0.9271894583333328,-1.0
3.5,-6703986000.0,-2.1818368,-6703986000.0,-0.8754057249999994,-1.0
3.625,-6703986000.0,-2.2244914,-6703986000.0,-0.8254663833333327,-1.0
3.75,-6703986000.0,-2.1834915,-6703986000.0,-0.773790716666666,-1.0
3.875,-6703986000.0,-2.1879072,-6703986000.0,-0.7235474999999993,-1.0
4.0,-6703986000.0,-2.193263,-6703986000.0,-0.6769726999999993,-1.0
4.125,-6703986000.0,-2.2027638,-6703986000.0,-0.6271872916666659,-1.0
4.25,-6703986000.0,-2.1788597,-6703986000.0,-0.5735269583333324,-1.0
4.375,-6703986000.0,-2.2073605,-6703986000.0,-0.5236879499999991,-1.0
4.5,-6703986000.0,-2.1977038,-6703986000.0,-0.47402833333333244,-1.0
4.625,-6703986000.0,-2.2147973,-6703986000.0,-0.41914780833333243,-1.0
4.75,-6703986000.0,-2.168948,-6703986000.0,-0.36486725833333244,-1.0
4.875,-6703986000.0,-2.1831548,-6703986000.0,-0.31899720833333245,-1.0
5.0,-6703986000.0,-2.2004006,-6703986000.0,-0.2736254749999991,-1.0
5.125,-6703986000.0,-2.1899042,-6703986000.0,-0.21721816666666582,-1.0
5.25,-6703986000.0,-2.1565938,-6703986000.0,-0.16174011666666582,-1.0
5.375,-6703986000.0,-2.2045407,-6703986000.0,-0.11244365833333249,-1.0
5.5,-6703986000.0,-2.228764,-6703986000.0,-0.061243116666665806,-1.0
5.625,-6703986000.0,-2.178878,-6703986000.0,-0.00846614166666581,-1.0
5.75,-6703986000.0,-2.1277897,-6703986000.0,0.040330591666667526,-1.0
5.875,-6703986000.0,-2.1967785,-6703986000.0,0.08279327500000089,-1.0
6.0,-6703986000.0,-2.158162,-6703986000.0,0.12769538333333424,-1.0
6.125,-6703986000.0,-2.188566,-6703986000.0,0.17567529166666762,-1.0
6.25,-6703986000.0,-2.211415,-6703986000.0,0.22316437500000091,-1.0
6.375,-6703986000.0,-2.2106662,-6703986000.0,0.2742095750000009,-1.0
6.5,-6703986000.0,-2.1864493,-6703986000.0,0.32730468333333423,-1.0
6.625,-6703986000.0,-2.1992936,-6703986000.0,0.3836858416666675,-1.0
6.75,-6703986000.0,-2.179888,-6703986000.0,0.4447788250000008,-1.0
6.875,-6703986000.0,-2.196971,-6703986000.0,0.4983464250000008,-1.0
7.0,-6703986000.0,-2.1904676,-6703986000.0,0.5434191916666675,-1.0
7.125,-6703986000.0,-2.1944723,-6703986000.0,0.5934247250000009,-1.0
7.25,-6703986000.0,-2.1260693,-6703986000.0,0.6471703833333342,-1.0
7.375,-6703986000.0,-2.1265578,-6703986000.0,0.6970146333333342,-1.0
7.5,-6703986000.0,-2.2098126,-6703986000.0,0.7432279666666677,-1.0
7.625,-6703986000.0,-2.2261732,-6703986000.0,0.7917322083333344,-1.0
7.75,-6703986000.0,-2.161199,-6703986000.0,0.8488641333333343,-0.7370125319586975
7.875,-6703986000.0,-2.178793,-6703986000.0,0.8920441932646026,-0.5423626578392935
8.0,-6703986000.0,-2.1436176,-6703986000.0,0.9219310344899005,-0.3339874818975953
8.125,-6703986000.0,-2.1544495,-6703986000.0,0.9398911919181137,-0.3505802328264721
8.25,-6703986000.0,-2.19987,-6703986000.0,0.9494847702261039,-0.29149248664095667
8.375,-6703986000.0,-2.1505327,-6703986000.0,0.9582757112248184,-0.1373216529597033
8.5,-6703986000.0,-2.1608863,-6703986000.0,0.9615925772061369,-0.08970252030875094
8.625,-6703986000.0,-2.1458812,-6703986000.0,0.9613380782215745,-0.024622039004776122
